ticker,forecast_id,forecast_price_30d,forecast_market_cap_b,forecast_change_%
A,1,114.6,32.553848083199995,-0.02
AA,2,30.11,7.79593089088,-0.2
AAON,3,80.6,6.558107337599999,0.1
AAP,4,58.94,3.532014864,-0.24
AAPL,5,227.27,3372.77767890944,-0.91
ABBV,6,198.16,350.0615296,0.06
ABT,7,134.14,233.46530869248,-0.1
ACI,8,19.67,11.01217113472,-0.2
ACM,9,118.41,15.66576141,-0.02
ACN,10,238.44,148.51306741248,-0.32
ADI,11,223.68,111.00075264,-0.12
ADM,12,57.68,27.71316352,-0.28
ADP,13,305.72,123.82974840576,-0.03
ADT,14,8.42,6.44412912,-0.0
AEE,15,101.44,27.430388776959997,0.05
AEP,16,112.51,60.16978635008,0.01
AES,17,13.15,9.3634572896,0.23
AGCO,18,109.96,8.205237192,0.33
AJG,19,289.0,74.088909312,-0.15
ALLE,20,163.85,14.0659483696,0.08
ALSN,21,87.78,7.33987427712,0.06
AM,22,18.45,8.8266830976,0.05
AMAT,23,184.51,148.06890302784,-0.19
AMCR,24,9.64,22.08851790848,-0.31
AME,25,182.21,42.08212834,0.07
AMG,26,211.33,6.007879437,0.01
AMGN,27,288.37,155.24744532608003,0.05
AMH,28,34.49,12.77078502592,0.2
AMKR,29,23.18,5.72877492544,0.22
AMT,30,206.69,96.78280084352,0.09
AON,31,366.54,79.03592351232001,0.04
AOS,32,70.82,8.0918932,-0.01
APD,33,288.99,64.31588046,0.09
APH,34,110.08,134.39888064512,0.09
ARES,35,188.69,40.56344406,0.14
ARMK,36,39.7,10.4351850176,0.2
ASH,37,52.08,2.38036848,0.08
ATO,38,163.62,26.26493688,-0.41
ATR,39,140.66,9.26675113,-0.06
AU,40,56.9,28.7199336,-0.91
AVB,41,186.53,26.55870248224,-0.13
AVT,42,51.94,4.3555479542399995,-0.06
AVY,43,170.55,13.29976188,-0.15
AWI,44,188.13,8.138183979,-0.08
AWK,45,145.32,28.351787842559997,-0.03
AYI,46,307.25,9.4156148,0.06
BALL,47,54.22,14.75591834624,0.3
BKR,48,43.34,42.727994819840006,0.12
CAG,49,19.2,9.190925107199998,-0.26
CARR,50,66.0,56.167516416,-0.05
CAT,51,416.27,195.01375666016,-0.06
CBOE,52,252.1,26.367139,-0.19
CC,53,12.13,1.81583674,-0.49
CCI,54,104.51,45.51097137216,0.01
CCK,55,101.28,11.78656128,-0.2
CDW,56,163.39,21.41405679,0.29
CE,57,47.98,5.24934786,-0.15
CEG,58,334.52,104.50606047232,-0.37
CF,59,81.68,13.229953986560002,0.95
CHE,60,434.09,6.325429253,-0.28
CHH,61,121.25,5.6100435,0.41
CL,62,84.62,68.39166034304,-0.08
CMCSA,63,31.76,116.96445556736,0.28
CMI,64,386.24,53.21846464,-0.2
CNP,65,38.83,25.35074888192,-0.0
COLD,66,14.48,4.12387527168,-0.34
COP,67,93.92,117.30044780544,0.01
COR,68,285.48,55.34829144,0.12
COST,69,982.5,435.71614464,0.15
CR,70,194.05,11.16695654,0.05
CRH,71,108.76,73.11532126976002,-0.49
CRI,72,25.26,0.920277372,-0.39
CSX,73,35.43,66.05144266751999,-0.0
CTRA,74,24.02,18.33062203136,-0.0
CTVA,75,70.86,48.12102826752,-0.07
CUZ,76,26.7,4.4847456,-0.0
CVS,77,65.49,83.06293065215999,-0.08
CVX,78,155.19,312.67991083391996,0.12
CW,79,477.51,17.991669531,1.08
CXT,80,60.23,3.458298186,-0.59
DAL,81,53.72,35.07636484096,0.15
DE,82,510.14,138.15968986112,-0.05
DELL,83,137.25,46.757368152,-0.26
DGX,84,176.56,19.74346888,-0.23
DHR,85,200.35,143.4610117888,-0.1
DIS,86,112.05,201.4580547072,-0.34
DKS,87,211.05,11.929031415,-0.09
DRI,88,202.47,23.60698965,0.23
EA,89,167.26,41.84962415808,-0.23
ECL,90,272.59,77.31333656928,-0.1
ED,91,104.46,37.67370792,-0.02
EFX,92,239.89,29.55372833,0.03
EHC,93,117.15,11.7998166,-0.37
EIX,94,53.67,20.65403992128,-0.19
EL,95,90.69,21.2405049,-0.0
ELS,96,60.32,11.6894128,0.28
EME,97,618.81,27.700534602,0.1
EMR,98,132.77,74.722956,0.02
ENTG,99,73.09,11.065826,-0.07
EQIX,100,776.13,75.95518632,-0.01
EQR,101,63.19,24.13213360896,-0.02
