ticker,dcf_market_cap_B,ddm_market_cap_B,multiples_market_cap_B,median_market_cap_B,current_price,forecast_price_30d,forecast_change_%,current_market_cap_B,forecast_market_cap_B,sector,buy?
A,38.82,5.85,22.21,22.21,114.62000274658205,114.6,-0.02,32.559529984,32.553848083199995,Healthcare,No
AA,10.84,0.98,20.42,10.84,30.170000076293945,30.11,-0.2,7.811465728,7.79593089088,Basic Materials,Yes
AAON,5.85,0.72,2.66,2.66,80.5199966430664,80.6,0.1,6.551597568,6.558107337599999,Industrials,No
AAP,-14.34,1.89,0.7,0.7,59.08000183105469,58.94,-0.24,3.54040448,3.532014864,Consumer Cyclical,No
AAPL,1775.33,591.49,2050.77,1775.33,229.3500061035156,227.27,-0.91,3403.645714432,3372.77767890944,Technology,No
ABBV,920.06,753.72,309.27,753.72,198.0500030517578,198.16,0.06,349.8672128,350.0615296,Healthcare,Yes
ABT,215.49,166.91,146.14,166.91,134.27999877929688,134.14,-0.1,233.708978176,233.46530869248,Healthcare,No
ACI,261.1,20.46,26.96,26.96,19.709999084472656,19.67,-0.2,11.034564608,11.01217113472,Consumer Defensive,Yes
ACM,7.94,2.88,10.64,7.94,118.43000030517578,118.41,-0.02,15.685579776,15.66576141,Industrials,No
ACN,186.5,116.31,175.64,175.64,239.1999969482422,238.44,-0.32,148.98642944,148.51306741248,Technology,Yes
ADI,48.32,93.47,59.85,59.85,223.9499969482422,223.68,-0.12,111.142182912,111.00075264,Technology,No
ADM,224.61,30.18,19.4,30.18,57.84000015258789,57.68,-0.28,27.790036992,27.71316352,Consumer Defensive,Yes
ADP,60.89,235.01,87.78,87.78,305.80999755859375,305.72,-0.03,123.866202112,123.82974840576,Technology,No
ADT,61.22,2.91,19.17,19.17,8.420000076293945,8.42,-0.0,6.905082368,6.44412912,Industrials,Yes
AEE,257.73,23.18,9.74,23.18,101.38999938964844,101.44,0.05,27.416868864,27.430388776959997,Utilities,No
AEP,663.73,66.91,30.92,66.91,112.5,112.51,0.01,60.164440064,60.16978635008,Utilities,Yes
AES,276.0,8.87,-1.86,8.87,13.119999885559082,13.15,0.23,9.34209536,9.3634572896,Utilities,No
AGCO,39.58,1.5,7.05,7.05,109.5999984741211,109.96,0.33,8.178373632,8.205237192,Industrials,No
AJG,-208.41,28.08,33.04,28.08,289.44000244140625,289.0,-0.15,74.201710592,74.088909312,Financial Services,No
ALLE,6.27,3.44,7.86,6.27,163.72000122070312,163.85,0.08,14.054788096,14.0659483696,Industrials,No
ALSN,14.38,3.41,13.95,13.95,87.7300033569336,87.78,0.06,7.335693824,7.33987427712,Consumer Cyclical,Yes
AM,15.44,7.57,2.88,7.57,18.440000534057617,18.45,0.05,8.821899264,8.8266830976,Energy,No
AMAT,74.74,29.64,129.5,74.74,184.8699951171875,184.51,-0.19,148.357791744,148.06890302784,Technology,No
AMCR,50.85,71.68,15.52,50.85,9.670000076293944,9.64,-0.31,22.157258752,22.08851790848,Consumer Cyclical,Yes
AME,22.31,5.42,20.69,20.69,182.0800018310547,182.21,0.07,42.052104192,42.08212834,Industrials,No
AMG,16.42,0.03,3.95,3.95,211.3000030517578,211.33,0.01,6.007026688,6.007879437,Financial Services,No
AMGN,598.33,357.81,165.34,357.81,288.2300109863281,288.37,0.05,155.172077568,155.24744532608003,Healthcare,Yes
AMH,16.18,9.71,4.54,9.71,34.41999816894531,34.49,0.2,14.535117824,12.77078502592,Real Estate,No
AMKR,21.04,1.43,15.32,15.32,23.1299991607666,23.18,0.22,5.716417536,5.72877492544,Technology,Yes
AMT,233.74,63.15,24.44,63.15,206.5099945068359,206.69,0.09,96.698515456,96.78280084352,Real Estate,No
AON,78.38,21.13,35.11,35.11,366.3999938964844,366.54,0.04,79.00573696,79.03592351232001,Financial Services,No
AOS,10.9,2.67,7.6,7.6,70.83000183105469,70.82,-0.01,9.925407744,8.0918932,Industrials,No
APD,196.44,40.16,21.97,40.16,288.739990234375,288.99,0.09,64.26023936,64.31588046,Basic Materials,No
APH,25.93,32.68,72.38,32.68,109.9800033569336,110.08,0.09,134.27679232,134.39888064512,Technology,No
ARES,2.12,16.82,-0.35,2.12,188.42999267578125,188.69,0.14,61.537087488,40.56344406,Financial Services,No
ARMK,43.63,1.66,6.45,6.45,39.619998931884766,39.7,0.2,10.4141568,10.4351850176,Industrials,No
ASH,31.44,3.14,1.74,3.14,52.040000915527344,52.08,0.08,2.378540288,2.38036848,Basic Materials,Yes
ATO,114.01,12.85,12.01,12.85,164.2899932861328,163.62,-0.41,26.372487168,26.26493688,Utilities,No
ATR,23.49,6.37,9.63,9.63,140.75,140.66,-0.06,9.272680448,9.26675113,Healthcare,Yes
AU,46.44,19.76,32.1,32.1,57.41999816894531,56.9,-0.91,28.982398976,28.7199336,Basic Materials,Yes
AVB,50.29,19.16,10.05,19.16,186.77999877929688,186.53,-0.13,26.594297856,26.55870248224,Real Estate,No
AVT,26.2,5.02,7.59,7.59,51.970001220703125,51.94,-0.06,4.358063616,4.3555479542399995,Technology,Yes
AVY,23.3,12.62,13.85,13.85,170.80999755859375,170.55,-0.15,13.320037376,13.29976188,Consumer Cyclical,Yes
AWI,5.44,0.78,3.83,3.83,188.27999877929688,188.13,-0.08,8.144672768,8.138183979,Industrials,No
AWK,163.14,15.5,9.11,15.5,145.36000061035156,145.32,-0.03,28.359591936,28.351787842559997,Utilities,No
AYI,1.99,0.27,6.35,1.99,307.0799865722656,307.25,0.06,9.410404352,9.4156148,Industrials,No
BALL,13.52,6.8,16.59,13.52,54.060001373291016,54.22,0.3,14.712375296,14.75591834624,Consumer Cyclical,No
BKR,78.72,16.59,27.44,27.44,43.290000915527344,43.34,0.12,42.67870208,42.727994819840006,Energy,No
