ticker,risk_id,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio
A,1,-0.255,-0.0302,0.2966,-0.1
AA,2,-0.3047,0.0662,0.5617,0.12
AAON,3,0.7786,0.2311,0.4123,0.56
AAP,4,-0.6878,-0.1511,0.5408,-0.28
AAPL,5,0.5717,0.155,0.2879,0.54
ABBV,6,0.9957,0.2004,0.2281,0.88
ABT,7,0.1778,0.0653,0.2195,0.3
ACI,8,-0.0299,0.034,0.2887,0.12
ACM,9,0.8902,0.1914,0.2498,0.77
ACN,10,-0.2087,-0.0222,0.2708,-0.08
ADI,11,0.4267,0.145,0.3347,0.43
ADM,12,0.0444,0.0543,0.289,0.19
ADP,13,0.5452,0.133,0.216,0.62
ADT,14,0.0368,0.0859,0.3939,0.22
AEE,15,0.2983,0.0858,0.1999,0.43
AEP,16,0.4684,0.1177,0.2048,0.57
AES,17,-0.3909,-0.0516,0.3836,-0.13
AGCO,18,-0.1227,0.0309,0.3577,0.09
AJG,19,1.1311,0.2145,0.2183,0.98
ALLE,20,0.2674,0.0947,0.2654,0.36
ALSN,21,1.3853,0.2626,0.2958,0.89
AM,22,1.6509,0.2835,0.2756,1.03
AMAT,23,0.4813,0.1905,0.4281,0.45
AMCR,24,-0.0342,0.0185,0.2337,0.08
AME,25,0.3619,0.1013,0.2169,0.47
AMG,26,0.2407,0.1053,0.32,0.33
AMGN,27,0.4356,0.1181,0.2333,0.51
AMH,28,-0.0731,0.0072,0.2298,0.03
AMKR,29,-0.0619,0.1045,0.4905,0.21
AMT,30,-0.1699,-0.01,0.2717,-0.04
AON,31,0.3743,0.1056,0.2257,0.47
AOS,32,0.066,0.0544,0.2777,0.2
APD,33,0.149,0.0701,0.2635,0.27
APH,34,2.0924,0.3225,0.2757,1.17
ARES,35,1.9543,0.3394,0.3638,0.93
ARMK,36,0.6461,0.1694,0.2965,0.57
ASH,37,-0.3477,-0.0634,0.2973,-0.21
ATO,38,0.8089,0.1679,0.1933,0.87
ATR,39,0.1161,0.0522,0.2208,0.24
AU,40,3.0134,0.4582,0.4665,0.98
AVB,41,-0.0397,0.0159,0.2286,0.07
AVT,42,0.3775,0.1202,0.282,0.43
AVY,43,-0.1555,-0.0113,0.2499,-0.05
AWI,44,0.763,0.1779,0.266,0.67
AWK,45,-0.1168,-0.0043,0.2327,-0.02
AYI,46,0.7079,0.184,0.3143,0.59
BALL,47,-0.364,-0.064,0.3148,-0.2
BKR,48,1.2393,0.2659,0.3547,0.75
CAG,49,-0.3135,-0.0698,0.2224,-0.31
CARR,50,0.2469,0.1047,0.3137,0.33
CAT,51,1.0427,0.223,0.2942,0.76
CBOE,52,1.106,0.2114,0.2184,0.97
CC,53,-0.5899,-0.0762,0.5421,-0.14
CCI,54,-0.3441,-0.0704,0.2677,-0.26
CCK,55,-0.021,0.0393,0.2972,0.13
CDW,56,-0.1374,0.0037,0.2845,0.01
CE,57,-0.6827,-0.1951,0.4262,-0.46
CEG,58,7.2487,0.719,0.4969,1.45
CF,59,0.7959,0.2173,0.3735,0.58
CHE,60,-0.0332,0.0214,0.2429,0.09
CHH,61,0.0691,0.0556,0.2783,0.2
CL,62,0.1814,0.0583,0.1804,0.32
CMCSA,63,-0.3977,-0.0919,0.2661,-0.35
CMI,64,0.7909,0.1821,0.2665,0.68
CNP,65,0.6106,0.141,0.2048,0.69
COLD,66,-0.5503,-0.1565,0.2994,-0.52
COP,67,0.8902,0.2161,0.3334,0.65
COR,68,1.5362,0.2543,0.1992,1.28
COST,69,1.3108,0.2391,0.2368,1.01
CR,70,1.7329,0.4816,0.329,1.46
CRH,71,1.3238,0.2602,0.3101,0.84
CRI,72,-0.7157,-0.2379,0.3929,-0.61
CSX,73,0.0954,0.0506,0.2356,0.21
