ticker,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,forecast_price_30d,current_price,forecast_change_%,current_market_cap_B,forecast_market_cap_B
MMM,0.068,0.0581,0.2912,0.2,153.09,153.3000030517578,-0.14,81.652187136,81.54032914944
AOS,0.066,0.0544,0.2777,0.2,70.82,70.83000183105469,-0.01,9.925407744,8.0918932
AAON,0.7786,0.2311,0.4123,0.56,80.6,80.5199966430664,0.1,6.551597568,6.558107337599999
ABT,0.1778,0.0653,0.2195,0.3,134.14,134.27999877929688,-0.1,233.708978176,233.46530869248
ABBV,0.9957,0.2004,0.2281,0.88,198.16,198.0500030517578,0.06,349.8672128,350.0615296
ACN,-0.2087,-0.0222,0.2708,-0.08,238.44,239.1999969482422,-0.32,148.98642944,148.51306741248
AYI,0.7079,0.184,0.3143,0.59,307.25,307.0799865722656,0.06,9.410404352,9.4156148
ADT,0.0368,0.0859,0.3939,0.22,8.42,8.420000076293945,-0.0,6.905082368,6.44412912
AAP,-0.6878,-0.1511,0.5408,-0.28,58.94,59.08000183105469,-0.24,3.54040448,3.532014864
WMS,0.1356,0.1284,0.436,0.29,131.74,131.41000366210938,0.25,10.217469952,10.243127524
ACM,0.8902,0.1914,0.2498,0.77,118.41,118.43000030517578,-0.02,15.685579776,15.66576141
AES,-0.3909,-0.0516,0.3836,-0.13,13.15,13.119999885559082,0.23,9.34209536,9.3634572896
AMG,0.2407,0.1053,0.32,0.33,211.33,211.3000030517578,0.01,6.007026688,6.007879437
AGCO,-0.1227,0.0309,0.3577,0.09,109.96,109.5999984741211,0.33,8.178373632,8.205237192
A,-0.255,-0.0302,0.2966,-0.1,114.6,114.62000274658205,-0.02,32.559529984,32.553848083199995
APD,0.149,0.0701,0.2635,0.27,288.99,288.739990234375,0.09,64.26023936,64.31588046
ACI,-0.0299,0.034,0.2887,0.12,19.67,19.709999084472656,-0.2,11.034564608,11.01217113472
AA,-0.3047,0.0662,0.5617,0.12,30.11,30.170000076293945,-0.2,7.811465728,7.79593089088
ALLE,0.2674,0.0947,0.2654,0.36,163.85,163.72000122070312,0.08,14.054788096,14.0659483696
LNT,0.2354,0.0745,0.2063,0.36,65.66,65.63999938964844,0.03,16.867444736,16.86647816
ALSN,1.3853,0.2626,0.2958,0.89,87.78,87.7300033569336,0.06,7.335693824,7.33987427712
GOOGL,0.4769,0.1493,0.3197,0.47,200.26,201.4199981689453,-0.58,2439.619280896,1164.9124071833598
GOOG,0.469,0.1478,0.3192,0.46,200.98,202.08999633789065,-0.55,2440.394964992,1091.32142572544
MO,0.8385,0.1741,0.2026,0.86,64.04,64.19000244140625,-0.23,107.832147968,107.58015867392
AMCR,-0.0342,0.0185,0.2337,0.08,9.64,9.670000076293944,-0.31,22.157258752,22.08851790848
AEE,0.2983,0.0858,0.1999,0.43,101.44,101.38999938964844,0.05,27.416868864,27.430388776959997
AEP,0.4684,0.1177,0.2048,0.57,112.51,112.5,0.01,60.164440064,60.16978635008
AMH,-0.0731,0.0072,0.2298,0.03,34.49,34.41999816894531,0.2,14.535117824,12.77078502592
AMT,-0.1699,-0.01,0.2717,-0.04,206.69,206.5099945068359,0.09,96.698515456,96.78280084352
AWK,-0.1168,-0.0043,0.2327,-0.02,145.32,145.36000061035156,-0.03,28.359591936,28.351787842559997
COLD,-0.5503,-0.1565,0.2994,-0.52,14.48,14.529999732971191,-0.34,4.151700224,4.12387527168
AME,0.3619,0.1013,0.2169,0.47,182.21,182.0800018310547,0.07,42.052104192,42.08212834
AMGN,0.4356,0.1181,0.2333,0.51,288.37,288.2300109863281,0.05,155.172077568,155.24744532608003
AMKR,-0.0619,0.1045,0.4905,0.21,23.18,23.1299991607666,0.22,5.716417536,5.72877492544
APH,2.0924,0.3225,0.2757,1.17,110.08,109.9800033569336,0.09,134.27679232,134.39888064512
ADI,0.4267,0.145,0.3347,0.43,223.68,223.9499969482422,-0.12,111.142182912,111.00075264
AU,3.0134,0.4582,0.4665,0.98,56.9,57.41999816894531,-0.91,28.982398976,28.7199336
AM,1.6509,0.2835,0.2756,1.03,18.45,18.440000534057617,0.05,8.821899264,8.8266830976
AON,0.3743,0.1056,0.2257,0.47,366.54,366.3999938964844,0.04,79.00573696,79.03592351232001
AAPL,0.5717,0.155,0.2879,0.54,227.27,229.3500061035156,-0.91,3403.645714432,3372.77767890944
AMAT,0.4813,0.1905,0.4281,0.45,184.51,184.8699951171875,-0.19,148.357791744,148.06890302784
ATR,0.1161,0.0522,0.2208,0.24,140.66,140.75,-0.06,9.272680448,9.26675113
ARMK,0.6461,0.1694,0.2965,0.57,39.7,39.619998931884766,0.2,10.4141568,10.4351850176
ADM,0.0444,0.0543,0.289,0.19,57.68,57.84000015258789,-0.28,27.790036992,27.71316352
ARES,1.9543,0.3394,0.3638,0.93,188.69,188.42999267578125,0.14,61.537087488,40.56344406
AWI,0.763,0.1779,0.266,0.67,188.13,188.27999877929688,-0.08,8.144672768,8.138183979
AJG,1.1311,0.2145,0.2183,0.98,289.0,289.44000244140625,-0.15,74.201710592,74.088909312
ASH,-0.3477,-0.0634,0.2973,-0.21,52.08,52.040000915527344,0.08,2.378540288,2.38036848
T,0.7133,0.166,0.2464,0.67,28.07,28.079999923706055,-0.04,200.782938112,200.7114405632
ATO,0.8089,0.1679,0.1933,0.87,163.62,164.2899932861328,-0.41,26.372487168,26.26493688
ADP,0.5452,0.133,0.216,0.62,305.72,305.80999755859375,-0.03,123.866202112,123.82974840576
AVB,-0.0397,0.0159,0.2286,0.07,186.53,186.77999877929688,-0.13,26.594297856,26.55870248224
AVY,-0.1555,-0.0113,0.2499,-0.05,170.55,170.80999755859375,-0.15,13.320037376,13.29976188
AVT,0.3775,0.1202,0.282,0.43,51.94,51.970001220703125,-0.06,4.358063616,4.3555479542399995
BKR,1.2393,0.2659,0.3547,0.75,43.34,43.290000915527344,0.12,42.67870208,42.727994819840006
BALL,-0.364,-0.064,0.3148,-0.2,54.22,54.060001373291016,0.3,14.712375296,14.75591834624
CARR,0.2469,0.1047,0.3137,0.33,66.0,66.02999877929688,-0.05,56.19304448,56.167516416
CRI,-0.7157,-0.2379,0.3929,-0.61,25.26,25.36000061035156,-0.39,0.92392064,0.920277372
CAT,1.0427,0.223,0.2942,0.76,416.27,416.5199890136719,-0.06,195.130867712,195.01375666016
CBOE,1.106,0.2114,0.2184,0.97,252.1,252.5800018310547,-0.19,26.417342464,26.367139
CDW,-0.1374,0.0037,0.2845,0.01,163.39,162.9199981689453,0.29,21.35245824,21.41405679
CE,-0.6827,-0.1951,0.4262,-0.46,47.98,48.04999923706055,-0.15,5.25700608,5.24934786
COR,1.5362,0.2543,0.1992,1.28,285.48,285.1300048828125,0.12,55.2804352,55.34829144
CNP,0.6106,0.141,0.2048,0.69,38.83,38.83000183105469,-0.0,25.350750208,25.35074888192
CF,0.7959,0.2173,0.3735,0.58,81.68,80.91000366210938,0.95,13.105234944,13.229953986560002
CHE,-0.0332,0.0214,0.2429,0.09,434.09,435.3299865722656,-0.28,6.343497728,6.325429253
CC,-0.5899,-0.0762,0.5421,-0.14,12.13,12.1899995803833,-0.49,1.82481856,1.81583674
LNG,1.7262,0.3017,0.3131,0.96,232.02,230.8300018310547,0.52,50.729046016,50.99057136
CVX,0.7796,0.1783,0.2569,0.69,155.19,155.00999450683594,0.12,312.317247488,312.67991083391996
CHH,0.0691,0.0556,0.2783,0.2,121.25,120.75,0.41,5.586909184,5.6100435
CL,0.1814,0.0583,0.1804,0.32,84.62,84.69000244140625,-0.08,68.448239616,68.39166034304
CMCSA,-0.3977,-0.0919,0.2661,-0.35,31.76,31.670000076293945,0.28,116.932288512,116.96445556736
FIX,8.14,0.6518,0.4333,1.5,692.08,691.760009765625,0.05,24.406331392,24.41762052
CAG,-0.3135,-0.0698,0.2224,-0.31,19.2,19.25,-0.26,9.214860288,9.190925107199998
