Ticker,Sector,EBITDA,Sector Multiple,Enterprise Value (B),Estimated Market Cap (B),Shares Outstanding (B),Value per Share ($),Error
TXG,Healthcare,-0.11,13.3,-1.47,-1.11,0.11,-10.03,
MMM,Industrials,5.79,10.1,58.53,48.96,0.53,91.92,
AOS,Industrials,0.77,10.1,7.76,7.6,0.11,66.54,
AAON,Industrials,0.27,10.1,2.7,2.66,0.08,32.7,
ABT,Healthcare,11.45,13.3,152.32,146.14,1.74,83.96,
ABBV,Healthcare,28.07,13.3,373.38,309.27,1.77,175.07,
ACHC,Healthcare,0.64,13.3,8.57,6.3,0.09,68.18,
ACN,Technology,11.77,14.8,174.16,175.64,0.62,281.99,
AYI,Industrials,0.7,10.1,7.06,6.35,0.03,207.22,
ADBE,Technology,8.88,14.8,131.48,130.62,0.42,307.91,
ADT,Industrials,2.67,10.1,27.0,19.17,0.77,25.05,
AAP,Consumer Cyclical,0.26,12.0,3.11,0.7,0.06,11.75,
WMS,Industrials,0.83,10.1,8.4,7.61,0.08,97.83,
AMD,Technology,5.51,14.8,81.55,83.53,1.62,51.47,
ACM,Industrials,1.19,10.1,12.03,10.64,0.13,80.44,
AES,Utilities,3.08,9.0,27.68,-1.86,0.71,-2.61,
AMG,Financial Services,0.65,9.8,6.38,3.95,0.03,138.83,
AFRM,Technology,0.06,14.8,0.94,-5.06,0.28,-17.95,
AFL,Financial Services,3.45,9.8,33.77,28.15,0.53,52.63,
AGCO,Industrials,0.93,10.1,9.42,7.05,0.07,94.43,
A,Healthcare,1.84,13.3,24.41,22.21,0.28,78.18,
ADC,Real Estate,0.57,10.2,5.81,2.58,0.11,23.27,
AGNC,,,,,,,,Missing EBITDA
AL,,,,,,,,Missing EBITDA
APD,Basic Materials,4.37,8.7,38.01,21.97,0.22,98.73,
ABNB,Consumer Cyclical,2.65,12.0,31.85,40.92,0.43,95.37,
AKAM,Technology,1.15,14.8,17.03,12.72,0.14,88.97,
ALK,Industrials,1.47,10.1,14.86,10.61,0.12,92.0,
ALB,Basic Materials,0.47,8.7,4.12,2.31,0.12,19.59,
ACI,Consumer Defensive,3.67,11.2,41.11,26.96,0.56,48.15,
AA,Basic Materials,2.48,8.7,21.57,20.42,0.26,78.88,
ARE,Real Estate,1.98,10.2,20.18,7.05,0.17,41.27,
ALGN,Healthcare,0.8,13.3,10.63,11.41,0.07,157.38,
ALLE,Industrials,0.93,10.1,9.43,7.86,0.09,91.56,
ALGM,Technology,0.06,14.8,0.87,0.66,0.19,3.59,
LNT,Utilities,1.81,9.0,16.32,5.34,0.26,20.78,
ALSN,Consumer Cyclical,1.15,12.0,13.82,13.95,0.08,166.84,
ALL,Financial Services,7.42,9.8,72.75,75.29,0.26,285.72,
ALLY,,,,,,,,Missing EBITDA
ALNY,Healthcare,-0.12,13.3,-1.65,-1.53,0.13,-11.65,
GOOGL,Communication Services,140.84,12.7,1788.68,1842.16,5.82,316.69,
GOOG,Communication Services,140.84,12.7,1788.68,1842.16,5.43,339.26,
MO,Consumer Defensive,12.57,11.2,140.82,117.38,1.68,69.88,
AMZN,Consumer Cyclical,133.83,12.0,1605.98,1539.59,10.66,144.36,
AMCR,Consumer Cyclical,1.9,12.0,22.79,15.52,2.29,6.77,
DOX,Technology,0.98,14.8,14.57,14.08,0.11,126.56,
AMED,Healthcare,0.25,13.3,3.37,3.25,0.03,98.9,
AMTM,Industrials,0.84,10.1,8.5,4.76,0.24,19.55,
AS,Consumer Cyclical,0.73,12.0,8.77,7.66,0.55,13.81,
AEE,Utilities,3.3,9.0,29.71,9.74,0.27,36.02,
AAL,Industrials,5.11,10.1,51.59,22.96,0.66,34.8,
AEP,Utilities,8.57,9.0,77.15,30.92,0.53,57.82,
AXP,,,,,,,,Missing EBITDA
AFG,Financial Services,1.18,9.8,11.52,11.16,0.08,133.79,
AMH,Real Estate,0.92,10.2,9.39,4.54,0.37,12.26,
AIG,Financial Services,8.54,9.8,83.71,86.38,0.55,155.92,
AMT,Real Estate,6.63,10.2,67.58,24.44,0.47,52.2,
AWK,Utilities,2.67,9.0,24.0,9.11,0.2,46.67,
COLD,Real Estate,0.55,10.2,5.61,1.5,0.28,5.27,
AMP,,,,,,,,Missing EBITDA
AME,Industrials,2.2,10.1,22.26,20.69,0.23,89.57,
AMGN,Healthcare,16.05,13.3,213.52,165.34,0.54,307.12,
AMKR,Technology,1.02,14.8,15.09,15.32,0.25,62.01,
APH,Technology,5.22,14.8,77.21,72.38,1.22,59.28,
ADI,Technology,4.37,14.8,64.69,59.85,0.5,120.6,
ANGI,Communication Services,0.11,12.7,1.38,1.2,0.04,27.1,
AU,Basic Materials,3.72,8.7,32.41,32.1,0.5,63.59,
NLY,,,,,,,,Missing EBITDA
ANSS,Technology,0.88,14.8,12.99,13.96,0.09,158.82,
AM,Energy,0.91,6.5,5.9,2.88,0.48,6.02,
AR,Energy,1.34,6.5,8.69,5.19,0.31,16.82,
AON,Financial Services,5.31,9.8,52.06,35.11,0.22,162.82,
APA,Energy,5.85,6.5,38.03,33.58,0.36,93.85,
APG,Industrials,0.83,10.1,8.38,5.76,0.42,13.84,
APLS,Healthcare,-0.19,13.3,-2.5,-2.6,0.13,-20.58,
APO,,,,,,,,Missing EBITDA
APPF,Technology,0.15,14.8,2.2,2.28,0.02,99.83,
AAPL,Technology,141.7,14.8,2097.1,2050.77,14.84,138.19,
AMAT,Technology,8.74,14.8,129.43,129.5,0.8,161.37,
APP,Communication Services,3.28,12.7,41.66,39.34,0.31,127.88,
ATR,Healthcare,0.8,13.3,10.63,9.63,0.07,146.11,
APTV,Consumer Cyclical,3.13,12.0,37.6,30.7,0.22,140.96,
ARMK,Industrials,1.24,10.1,12.52,6.45,0.26,24.54,
ACGL,Financial Services,4.66,9.8,45.68,46.79,0.37,125.37,
ADM,Consumer Defensive,2.58,11.2,28.95,19.4,0.48,40.38,
ARES,Financial Services,1.18,9.8,11.59,-0.35,0.21,-1.62,
ANET,Technology,3.47,14.8,51.37,60.21,1.26,47.91,
AWI,Industrials,0.43,10.1,4.31,3.83,0.04,88.49,
ARW,Technology,1.01,14.8,14.95,12.35,0.05,239.87,
AJG,Financial Services,3.28,9.8,32.11,33.04,0.26,128.89,
ASH,Basic Materials,0.35,8.7,3.02,1.74,0.05,38.09,
AIZ,Financial Services,1.22,9.8,12.0,11.72,0.05,231.17,
AGO,,,,,,,,Missing EBITDA
ALAB,Technology,0.05,14.8,0.69,1.72,0.17,10.37,
ASTS,Technology,-0.2,14.8,-2.9,-2.5,0.26,-9.69,
T,Communication Services,44.61,12.7,566.56,425.07,7.15,59.45,
ATI,Industrials,0.74,10.1,7.47,5.9,0.14,42.78,
TEAM,Technology,-0.04,14.8,-0.56,1.14,0.17,6.87,
ATO,Utilities,2.24,9.0,20.18,12.01,0.16,74.82,
AUR,Technology,-0.81,14.8,-12.06,-10.86,1.51,-7.21,
ADSK,Technology,1.49,14.8,22.04,21.53,0.21,100.65,
ADP,Technology,6.03,14.8,89.17,87.78,0.41,216.71,
AN,Consumer Cyclical,1.64,12.0,19.7,10.46,0.04,277.34,
AZO,Consumer Cyclical,4.3,12.0,51.62,39.31,0.02,2350.11,
AVB,Real Estate,1.84,10.2,18.78,10.05,0.14,70.61,
AVTR,Healthcare,1.07,13.3,14.18,10.39,0.68,15.23,
AVY,Consumer Cyclical,1.43,12.0,17.15,13.85,0.08,177.62,
CAR,Industrials,0.95,10.1,9.62,-19.09,0.04,-542.31,
AVT,Technology,0.69,14.8,10.27,7.59,0.08,90.5,
AXTA,Basic Materials,1.01,8.7,8.82,6.03,0.22,27.85,
AXS,Financial Services,1.26,9.8,12.39,11.8,0.08,150.95,
AXON,Industrials,0.09,10.1,0.88,1.06,0.08,13.45,
AZEK,Industrials,0.37,10.1,3.71,3.28,0.14,22.83,
AZTA,Healthcare,0.03,13.3,0.45,0.72,0.05,15.69,
BKR,Energy,4.67,6.5,30.39,27.44,0.99,27.83,
BALL,Consumer Cyclical,1.94,12.0,23.32,16.59,0.27,60.94,
BAC,,,,,,,,Missing EBITDA
OZK,,,,,,,,Missing EBITDA
CG,,,,,,,,Missing EBITDA
