Ticker,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Forecast Price (30d),Current Price,Forecast Change (%),Current Market Cap (B),Forecast Market Cap (B)
TXG,-0.9238,-0.4081,0.6912,-0.59,12.25,12.289999961853027,-0.33,1.513316864,1.36088925
MMM,0.068,0.0581,0.2912,0.2,153.09,153.3000030517578,-0.14,81.652187136,81.54032914944
AOS,0.066,0.0544,0.2777,0.2,70.82,70.83000183105469,-0.01,9.925407744,8.0918932
AAON,0.7786,0.2311,0.4123,0.56,80.6,80.5199966430664,0.1,6.551597568,6.558107337599999
ABT,0.1778,0.0653,0.2195,0.3,134.14,134.27999877929688,-0.1,233.708978176,233.46530869248
ABBV,0.9957,0.2004,0.2281,0.88,198.16,198.0500030517578,0.06,349.8672128,350.0615296
ACHC,-0.6956,-0.2117,0.4107,-0.52,19.27,19.239999771118164,0.16,1.776748544,1.779518982
ACN,-0.2087,-0.0222,0.2708,-0.08,238.44,239.1999969482422,-0.32,148.98642944,148.51306741248
AYI,0.7079,0.184,0.3143,0.59,307.25,307.0799865722656,0.06,9.410404352,9.4156148
ADBE,-0.4624,-0.0858,0.3719,-0.23,340.92,341.04998779296875,-0.04,144.673406976,144.618264
ADT,0.0368,0.0859,0.3939,0.22,8.42,8.420000076293945,-0.0,6.905082368,6.44412912
AAP,-0.6878,-0.1511,0.5408,-0.28,58.94,59.08000183105469,-0.24,3.54040448,3.532014864
WMS,0.1356,0.1284,0.436,0.29,131.74,131.41000366210938,0.25,10.217469952,10.243127524
AMD,0.6222,0.2599,0.5274,0.49,172.76,172.75999450683594,0.0,280.361828352,280.36184945664
ACM,0.8902,0.1914,0.2498,0.77,118.41,118.43000030517578,-0.02,15.685579776,15.66576141
AES,-0.3909,-0.0516,0.3836,-0.13,13.15,13.119999885559082,0.23,9.34209536,9.363457289600001
AMG,0.2407,0.1053,0.32,0.33,211.33,211.3000030517578,0.01,6.007026688,6.007879437
AFRM,0.0709,0.5329,1.0315,0.52,73.32,72.33000183105469,1.37,23.333658624,20.66348114688
AFL,0.9801,0.1956,0.2167,0.9,103.06,103.5199966430664,-0.44,55.365705728,55.11968368448
AGCO,-0.1227,0.0309,0.3577,0.09,109.96,109.5999984741211,0.33,8.178373632,8.205237192
A,-0.255,-0.0302,0.2966,-0.1,114.6,114.62000274658203,-0.02,32.559529984,32.553848083199995
ADC,0.1779,0.0603,0.1953,0.31,73.4,73.31999969482422,0.11,8.139546624,8.1228844
AGNC,0.0059,0.038,0.2701,0.14,9.44,9.449999809265137,-0.11,9.844347904,9.833931048959998
AL,0.3755,0.1412,0.3485,0.41,55.54,55.52000045776367,0.04,6.205192704,6.2074281
APD,0.149,0.0701,0.2635,0.27,288.99,288.739990234375,0.09,64.26023936,64.31588046
ABNB,-0.1993,0.0537,0.4684,0.11,121.75,121.0199966430664,0.6,74.092806144,52.24049
AKAM,-0.3986,-0.0792,0.3078,-0.26,70.65,70.52999877929688,0.17,10.085789696,10.10295
ALK,-0.1074,0.053,0.4048,0.13,52.21,52.279998779296875,-0.13,6.028406784,6.0203351
ALB,-0.6659,-0.1317,0.5352,-0.25,75.01,75.4800033569336,-0.62,8.8827136,8.82740183
ACI,-0.0299,0.034,0.2887,0.12,19.67,19.709999084472656,-0.2,11.034564608,11.01217113472
AA,-0.3047,0.0662,0.5617,0.12,30.11,30.170000076293945,-0.2,7.811465728,7.79593089088
ARE,-0.573,-0.1689,0.3009,-0.56,74.09,74.20999908447266,-0.16,12.66920448,12.64871829728
ALGN,-0.8014,-0.2647,0.521,-0.51,140.18,139.8800048828125,0.21,10.139398144,10.161143552
ALLE,0.2674,0.0947,0.2654,0.36,163.85,163.72000122070312,0.08,14.054788096,14.065948369600001
ALGM,0.0552,0.1352,0.4957,0.27,30.81,30.770000457763672,0.13,5.69368064,5.7010824
LNT,0.2354,0.0745,0.2063,0.36,65.66,65.63999938964844,0.03,16.867444736,16.86647816
ALSN,1.3853,0.2626,0.2958,0.89,87.78,87.7300033569336,0.06,7.335693824,7.33987427712
ALL,0.69,0.1665,0.2612,0.64,206.69,206.8000030517578,-0.05,54.492831744,54.46384679648
ALLY,-0.2072,0.0222,0.4023,0.06,37.48,37.47999954223633,0.0,11.536644096,11.536643839999998
ALNY,1.1846,0.3215,0.5184,0.62,439.43,438.92999267578125,0.11,57.53450496,57.60004497
GOOGL,0.4769,0.1493,0.3197,0.47,200.26,201.4199981689453,-0.58,2439.619280896,1164.9124071833598
GOOG,0.469,0.1478,0.3192,0.46,200.98,202.08999633789062,-0.55,2440.394964992,1091.32142572544
MO,0.8385,0.1741,0.2026,0.86,64.04,64.19000244140625,-0.23,107.832147968,107.58015867392001
AMZN,0.3482,0.1432,0.3689,0.39,222.7,222.69000244140625,0.0,2374.966444032,2375.0731373567996
AMCR,-0.0342,0.0185,0.2337,0.08,9.64,9.670000076293945,-0.31,22.157258752,22.08851790848
DOX,0.266,0.078,0.1932,0.4,89.11,89.41000366210938,-0.34,9.944091648,9.91072509
AMED,-0.4493,-0.0979,0.3237,-0.3,101.28,100.94000244140625,0.34,3.319583488,3.330764976
AMTM,-0.1484,0.0437,0.6826,0.06,25.2,25.1299991607666,0.28,6.114857472,6.1318905984
AS,1.7761,0.8166,0.5311,1.54,37.35,37.20000076293945,0.4,20.630042624,20.713227148799998
AEE,0.2983,0.0858,0.1999,0.43,101.44,101.38999938964844,0.05,27.416868864,27.430388776959997
AAL,-0.4312,-0.026,0.4832,-0.05,11.62,11.619999885559082,0.0,7.6672128,7.667212887039999
AEP,0.4684,0.1177,0.2048,0.57,112.51,112.5,0.01,60.164440064,60.16978635008
AXP,0.8557,0.2011,0.3018,0.67,297.67,297.42999267578125,0.08,206.976172032,207.14319017728
AFG,0.3593,0.1053,0.2364,0.45,128.63,129.33999633789062,-0.55,10.786243584,10.72703402048
AMH,-0.0731,0.0072,0.2298,0.03,34.49,34.41999816894531,0.2,14.535117824,12.77078502592
AIG,0.5868,0.1514,0.265,0.57,78.12,78.12999725341797,-0.01,43.284328448,43.278789980160006
AMT,-0.1699,-0.01,0.2717,-0.04,206.69,206.50999450683594,0.09,96.698515456,96.78280084352001
AWK,-0.1168,-0.0043,0.2327,-0.02,145.32,145.36000061035156,-0.03,28.359591936,28.351787842559997
COLD,-0.5503,-0.1565,0.2994,-0.52,14.48,14.529999732971191,-0.34,4.151700224,4.12387527168
AMP,0.9649,0.2103,0.2838,0.74,504.9,504.9599914550781,-0.01,47.60338432,47.59773084
AME,0.3619,0.1013,0.2169,0.47,182.21,182.0800018310547,0.07,42.052104192,42.08212834
AMGN,0.4356,0.1181,0.2333,0.51,288.37,288.2300109863281,0.05,155.172077568,155.24744532608003
AMKR,-0.0619,0.1045,0.4905,0.21,23.18,23.1299991607666,0.22,5.716417536,5.72877492544
APH,2.0924,0.3225,0.2757,1.17,110.08,109.9800033569336,0.09,134.27679232,134.39888064512
ADI,0.4267,0.145,0.3347,0.43,223.68,223.9499969482422,-0.12,111.142182912,111.00075264
ANGI,-0.8253,-0.1774,0.7235,-0.25,17.88,18.170000076293945,-1.6,0.805697792,0.792838536
AU,3.0134,0.4582,0.4665,0.98,56.9,57.41999816894531,-0.91,28.982398976,28.7199336
NLY,0.0323,0.044,0.2683,0.16,20.59,20.600000381469727,-0.05,13.226766336,13.220345498879999
ANSS,0.0299,0.0581,0.3202,0.18,375.11,,,32.906993664,32.97820677056
AM,1.6509,0.2835,0.2756,1.03,18.45,18.440000534057617,0.05,8.821899264,8.8266830976
AR,1.4322,0.349,0.4998,0.7,32.79,32.810001373291016,-0.06,10.136027136,10.12984775232
AON,0.3743,0.1056,0.2257,0.47,366.54,366.3999938964844,0.04,79.00573696,79.03592351232001
APA,0.189,0.1646,0.4904,0.34,19.95,20.010000228881836,-0.3,7.159297536,7.1378303808000005
APG,1.3273,0.2673,0.3307,0.81,34.46,34.459999084472656,0.0,14.331500544,14.33150048
APLS,-0.5648,0.045,0.6977,0.06,24.43,24.3700008392334,0.25,3.077687296,3.0852647
APO,1.6301,0.3152,0.3778,0.83,142.31,141.97000122070312,0.24,81.210671104,81.40516350848
APPF,1.1027,0.2827,0.4417,0.64,287.3,283.3599853515625,1.39,10.159305728,6.57103941
AAPL,0.5717,0.155,0.2879,0.54,227.27,229.35000610351562,-0.91,3403.645714432,3372.77767890944
AMAT,0.4813,0.1905,0.4281,0.45,184.51,184.8699951171875,-0.19,148.357791744,148.06890302784
APP,7.0053,0.828,0.7967,1.04,449.09,455.9800109863281,-1.51,154.235224064,138.15625124
ATR,0.1161,0.0522,0.2208,0.24,140.66,140.75,-0.06,9.272680448,9.26675113
APTV,-0.5982,-0.1479,0.4024,-0.37,67.05,66.9000015258789,0.22,14.568143872,14.600808
ARMK,0.6461,0.1694,0.2965,0.57,39.7,39.619998931884766,0.2,10.4141568,10.4351850176
ACGL,1.2424,0.2356,0.2538,0.93,88.89,88.83000183105469,0.07,33.153132544,33.1755258
ADM,0.0444,0.0543,0.289,0.19,57.68,57.84000015258789,-0.28,27.790036992,27.71316352
ARES,1.9543,0.3394,0.3638,0.93,188.69,188.42999267578125,0.14,61.537087488,40.56344406
ANET,5.068,0.5646,0.4703,1.2,136.94,139.17999267578125,-1.61,174.931165184,172.11577999104
AWI,0.763,0.1779,0.266,0.67,188.13,188.27999877929688,-0.08,8.144672768,8.138183979
ARW,0.0264,0.0466,0.282,0.17,121.03,120.88999938964844,0.12,6.22604032,6.233250751
AJG,1.1311,0.2145,0.2183,0.98,289.0,289.44000244140625,-0.15,74.201710592,74.088909312
ASH,-0.3477,-0.0634,0.2973,-0.21,52.08,52.040000915527344,0.08,2.378540288,2.38036848
AIZ,0.3132,0.1021,0.2591,0.39,202.65,203.27000427246094,-0.31,10.306256896,10.274821095
AGO,0.7475,0.1805,0.2822,0.64,81.97,81.88999938964844,0.1,4.012610048,4.01653
ALAB,1.8902,1.1876,0.9277,1.28,178.2,179.27999877929688,-0.6,29.799743488,29.620227225599997
ASTS,3.8122,0.948,1.0996,0.86,46.1,46.630001068115234,-1.14,16.219779072,11.914545
T,0.7133,0.166,0.2464,0.67,28.07,28.079999923706055,-0.04,200.782938112,200.7114405632
ATI,2.6502,0.4192,0.4323,0.97,72.73,73.04000091552734,-0.42,10.067249152,10.02452136
TEAM,-0.5028,0.0021,0.5934,0.0,168.36,168.05999755859375,0.18,44.116758528,27.820646853120003
ATO,0.8089,0.1679,0.1933,0.87,163.62,164.2899932861328,-0.41,26.372487168,26.26493688
AUR,-0.374,0.3343,0.9717,0.34,6.12,6.159999847412109,-0.65,11.367232512,9.21696519168
ADSK,-0.1246,0.0313,0.3592,0.09,291.38,290.67999267578125,0.24,62.18952704,62.33929176896
ADP,0.5452,0.133,0.216,0.62,305.72,305.80999755859375,-0.03,123.866202112,123.82974840576001
AN,0.6756,0.2006,0.3754,0.53,195.7,196.22999572753906,-0.27,7.399048192,7.3790642
AZO,1.4748,0.257,0.2397,1.07,4029.15,4035.159912109375,-0.15,67.50298112,67.402441605
AVB,-0.0397,0.0159,0.2286,0.07,186.53,186.77999877929688,-0.13,26.594297856,26.55870248224
AVTR,-0.7016,-0.2325,0.3766,-0.62,11.5,11.5,0.0,7.839998464,7.839998592
AVY,-0.1555,-0.0113,0.2499,-0.05,170.55,170.80999755859375,-0.15,13.320037376,13.29976188
CAR,0.8143,0.4426,0.8409,0.53,154.47,153.7100067138672,0.49,5.409593344,5.436339945
AVT,0.3775,0.1202,0.282,0.43,51.94,51.970001220703125,-0.06,4.358063616,4.3555479542399995
AXTA,-0.0987,0.02,0.3043,0.07,28.4,28.389999389648438,0.04,6.148535808,6.1507016
AXS,1.0408,0.2121,0.2549,0.83,96.25,96.47000122070312,-0.23,7.541445632,7.5242475
AXON,3.5186,0.4871,0.4685,1.04,839.18,842.5,-0.39,66.1399552,65.87932239199999
AZEK,0.3337,0.1799,0.4599,0.39,54.17,,,7.818464768,7.79257118
AZTA,-0.6489,-0.1399,0.4963,-0.28,29.11,29.030000686645508,0.28,1.330726528,1.334393667
BKR,1.2393,0.2659,0.3547,0.75,43.34,43.290000915527344,0.12,42.67870208,42.727994819840006
BALL,-0.364,-0.064,0.3148,-0.2,54.22,54.060001373291016,0.3,14.712375296,14.75591834624
BAC,0.2075,0.086,0.2778,0.31,46.13,46.0099983215332,0.26,340.7937536,341.68259833344
OZK,0.2684,0.1259,0.3637,0.35,47.94,47.9900016784668,-0.1,5.405641728,5.40000954
CG,0.449,0.1773,0.408,0.43,62.26,62.22999954223633,0.05,22.340569088,22.35134
KMX,-0.5751,-0.1247,0.4206,-0.3,54.98,54.959999084472656,0.04,8.247956992,8.25095856
CCL,0.2145,0.211,0.5682,0.37,28.31,28.3700008392334,-0.21,38.46631424,33.04909218816
CARR,0.2469,0.1047,0.3137,0.33,66.0,66.02999877929688,-0.05,56.19304448,56.167516416
CRI,-0.7157,-0.2379,0.3929,-0.61,25.26,25.360000610351562,-0.39,0.92392064,0.920277372
CVNA,-0.0296,0.7035,1.213,0.58,347.82,347.55999755859375,0.07,40.646098944,40.67650554
CASY,1.6837,0.2843,0.2693,1.06,519.34,518.969970703125,0.07,19.295821824,19.30958054
CAT,1.0427,0.223,0.2942,0.76,416.27,416.5199890136719,-0.06,195.130867712,195.01375666016
CAVA,0.9427,0.4838,0.591,0.82,85.3,85.05000305175781,0.29,9.836882944,9.865798
CBOE,1.106,0.2114,0.2184,0.97,252.1,252.5800018310547,-0.19,26.417342464,26.367139
CBRE,0.6255,0.168,0.3029,0.55,155.45,155.39999389648438,0.03,46.23988736,46.25476681279999
CCCS,0.0248,0.0624,0.3353,0.19,9.55,9.520000457763672,0.32,6.199947776,6.2194850208000005
CDW,-0.1374,0.0037,0.2845,0.01,163.39,162.9199981689453,0.29,21.35245824,21.41405679
CE,-0.6827,-0.1951,0.4262,-0.46,47.98,48.04999923706055,-0.15,5.25700608,5.24934786
CELH,1.1256,0.4152,0.6766,0.61,53.11,51.95000076293945,2.23,13.39109888,13.69011116512
COR,1.5362,0.2543,0.1992,1.28,285.48,285.1300048828125,0.12,55.2804352,55.34829144
CNC,-0.5945,-0.1501,0.3712,-0.4,25.59,25.59000015258789,-0.0,12.568093696,12.56809326528
CNP,0.6106,0.141,0.2048,0.69,38.83,38.83000183105469,-0.0,25.350750208,25.350748881919998
CERT,-0.625,-0.0967,0.5502,-0.18,11.01,10.9399995803833,0.64,1.757226496,1.76847024
CF,0.7959,0.2173,0.3735,0.58,81.68,80.91000366210938,0.95,13.105234944,13.229953986560002
CRL,-0.6352,-0.1593,0.4304,-0.37,150.78,148.74000549316406,1.37,7.32012032,7.420517076
SCHW,0.3588,0.1339,0.3359,0.4,97.16,97.08000183105469,0.08,176.39145472,176.53680364544
CHTR,-0.6688,-0.2054,0.3782,-0.54,256.65,256.57000732421875,0.03,35.045154816,35.0560822032
