Ticker,Beta,Cost of Equity,Cost of Debt,WACC,Growth_Rate,Last_Projected_FCFF,DCF Value (B)
A,1.219,0.1005,0.0234,0.0945,0.08,3042246718.86,38.82
AA,2.241,0.1496,0.0826,0.1367,0.05,1327519487.02,10.84
AAL,1.431,0.1107,0.0308,0.0422,0.0,9942521663.78,431.02
AAON,0.943,0.0873,0.0025,0.0868,0.05,408456440.43,5.85
AAP,1.077,0.0937,0.0089,0.0523,0.0,-480871772.03,-14.34
AAPL,1.165,0.0979,0.0166,0.0948,0.004,137717259671.14,1775.33
ABBV,0.503,0.0661,0.025,0.0587,0.08,37264800384.0,920.06
ABNB,1.133,0.0964,0.0561,0.0951,,,
ABT,0.705,0.0758,0.0222,0.0718,0.0,11580000000.0,215.49
ACGL,0.475,0.0648,0.0403,0.0629,,,
ACHC,0.883,0.0844,0.0371,0.0617,0.08,1202607364.46,27.54
ACI,0.314,0.0571,0.026,0.0397,0.0,5345324165.71,261.1
ACM,0.995,0.0898,0.0651,0.086,0.0,543118155.54,7.94
ACN,1.29,0.1039,0.0134,0.1018,0.09,16091759998.16,186.5
ADBE,1.517,0.1148,0.0191,0.1118,0.09,12136722176.84,125.15
ADC,0.55,0.0684,0.0231,0.0605,,,
ADI,1.052,0.0925,0.0214,0.0884,0.0,3426047516.14,48.32
ADM,0.662,0.0738,0.0198,0.0589,0.06,9127504548.43,224.61
ADP,0.82,0.0814,0.0193,0.0798,0.0,3775911984.71,60.89
ADSK,1.468,0.1125,0.0132,0.1078,0.09,2951303719.55,31.84
ADT,1.213,0.1002,0.0371,0.0633,0.0,2751245469.2,61.22
AEE,0.461,0.0641,0.0222,0.0502,0.03,8104671838.34,257.73
AEP,0.388,0.0606,0.0258,0.0474,0.03,18935319819.5,663.73
AES,0.956,0.0879,0.0385,0.055,0.03,10059965001.91,276.0
AFG,0.735,0.0773,0.0378,0.0712,,,
AFL,0.814,0.0811,0.0236,0.0739,,,
AFRM,3.631,0.2163,0.021,0.201,0.0,-1214473000.0,-6.51
AGCO,1.206,0.0999,0.0124,0.0854,0.05,2706643012.5,39.58
AGNC,1.274,0.1032,0.4702,0.1078,,,
AGO,0.863,0.0834,0.0411,0.071,,,
AIG,0.645,0.073,0.0342,0.0571,,,
AIZ,0.579,0.0698,0.0401,0.0646,,,
AJG,0.686,0.0749,0.0271,0.071,0.0,-11027055835.29,-208.41
AKAM,0.765,0.0787,0.02,0.0657,0.09,3060255261.37,63.85
AL,1.418,0.1101,0.0023,0.0311,0.05,7254126626.1,627.58
ALAB,,,,,,,
ALB,,,0.0193,,0.05,1635559742.25,
ALGM,1.742,0.1256,0.0476,0.125,0.09,223202731.94,2.01
ALGN,1.611,0.1193,,,0.0,651026179.24,
ALK,1.456,0.1119,0.0226,0.0758,0.0,3158165137.61,54.57
