Ticker,DCF Market Cap (B),DDM Market Cap (B),Multiples Market Cap (B),Median Market Cap (B),Current Price,Forecast Price (30d),Forecast Change (%),Current Market Cap (B),Forecast Market Cap (B)
A,38.82,5.85,22.21,22.21,114.62000274658203,114.6,-0.02,32.559529984,32.553848083199995
AA,10.84,0.98,20.42,10.84,30.170000076293945,30.11,-0.2,7.811465728,7.79593089088
AAL,431.02,,22.96,226.98999999999998,11.619999885559082,11.62,0.0,7.6672128,7.667212887039999
AAON,5.85,0.72,2.66,2.66,80.5199966430664,80.6,0.1,6.551597568,6.558107337599999
AAP,-14.34,1.89,0.7,0.7,59.08000183105469,58.94,-0.24,3.54040448,3.532014864
AAPL,1775.33,591.49,2050.77,1775.33,229.35000610351562,227.27,-0.91,3403.645714432,3372.77767890944
ABBV,920.06,753.72,309.27,753.72,198.0500030517578,198.16,0.06,349.8672128,350.0615296
ABNB,,,40.92,40.92,121.0199966430664,121.75,0.6,74.092806144,52.24049
ABT,215.49,166.91,146.14,166.91,134.27999877929688,134.14,-0.1,233.708978176,233.46530869248
ACGL,,,46.79,46.79,88.83000183105469,88.89,0.07,33.153132544,33.1755258
ACHC,27.54,,6.3,16.919999999999998,19.239999771118164,19.27,0.16,1.776748544,1.779518982
ACI,261.1,20.46,26.96,26.96,19.709999084472656,19.67,-0.2,11.034564608,11.01217113472
ACM,7.94,2.88,10.64,7.94,118.43000030517578,118.41,-0.02,15.685579776,15.66576141
ACN,186.5,116.31,175.64,175.64,239.1999969482422,238.44,-0.32,148.98642944,148.51306741248
ADBE,125.15,,130.62,127.885,341.04998779296875,340.92,-0.04,144.673406976,144.618264
ADC,,9.11,2.58,5.845,73.31999969482422,73.4,0.11,8.139546624,8.1228844
ADI,48.32,93.47,59.85,59.85,223.9499969482422,223.68,-0.12,111.142182912,111.00075264
ADM,224.61,30.18,19.4,30.18,57.84000015258789,57.68,-0.28,27.790036992,27.71316352
ADP,60.89,235.01,87.78,87.78,305.80999755859375,305.72,-0.03,123.866202112,123.82974840576001
ADSK,31.84,,21.53,26.685000000000002,290.67999267578125,291.38,0.24,62.18952704,62.33929176896
ADT,61.22,2.91,19.17,19.17,8.420000076293945,8.42,-0.0,6.905082368,6.44412912
AEE,257.73,23.18,9.74,23.18,101.38999938964844,101.44,0.05,27.416868864,27.430388776959997
AEP,663.73,66.91,30.92,66.91,112.5,112.51,0.01,60.164440064,60.16978635008
AES,276.0,8.87,-1.86,8.87,13.119999885559082,13.15,0.23,9.34209536,9.363457289600001
AFG,,10.27,11.16,10.715,129.33999633789062,128.63,-0.55,10.786243584,10.72703402048
AFL,,41.93,28.15,35.04,103.5199966430664,103.06,-0.44,55.365705728,55.11968368448
AFRM,-6.51,,-5.06,-5.785,72.33000183105469,73.32,1.37,23.333658624,20.66348114688
AGCO,39.58,1.5,7.05,7.05,109.5999984741211,109.96,0.33,8.178373632,8.205237192
AGNC,,21.12,,21.12,9.449999809265137,9.44,-0.11,9.844347904,9.833931048959998
AGO,,2.09,,2.09,81.88999938964844,81.97,0.1,4.012610048,4.01653
AIG,,45.6,86.38,65.99,78.12999725341797,78.12,-0.01,43.284328448,43.278789980160006
AIZ,,8.61,11.72,10.165,203.27000427246094,202.65,-0.31,10.306256896,10.274821095
AJG,-208.41,28.08,33.04,28.08,289.44000244140625,289.0,-0.15,74.201710592,74.088909312
AKAM,63.85,,12.72,38.285000000000004,70.52999877929688,70.65,0.17,10.085789696,10.10295
AL,627.58,1.46,,314.52000000000004,55.52000045776367,55.54,0.04,6.205192704,6.2074281
ALAB,,,1.72,1.72,179.27999877929688,178.2,-0.6,29.799743488,29.620227225599997
ALB,,,2.31,2.31,75.4800033569336,75.01,-0.62,8.8827136,8.82740183
ALGM,2.01,,0.66,1.335,30.770000457763672,30.81,0.13,5.69368064,5.7010824
